SampleNumber,GPStime,Type,Period,Network,DistMean,DistSTD,DistMax,LogBCI,LogBSN,ProbMin,ProbMax,ProbMedian,ProbStd,Vol0Min,Vol0Max,Vol0Median,Vol0Std,Vol1Min,Vol1Max,Vol1Median,Vol1Std,Vol2Min,Vol2Max,Vol2Median,Vol2Std
r02140,1231801411,BNS,GW170729,111000,175.057,59.833,324.64,5.068,26.014,2.811391200738281e-18,5.235485321292263e-05,7.348081215696249e-14,5.809731044101082e-06,4.80770377260412e-20,0.013,5.604996116926595e-12,0.0004910248829554002,8.70309194844184e-17,0.004,3.3662628399451352e-12,0.0002990155463122715,4.336813730944002e-16,0.0007192418428335702,3.181932958757166e-06,9.832225768722303e-05
r02141,1239802176,BNS,GW170729,111000,126.154,47.267,244.32,6.004,64.153,1.7895675692906294e-31,5.1356653649525295e-05,1.1890197746350527e-25,2.8097068382360613e-06,1.8044933056225552e-109,0.016,1.1190140866453449e-24,0.0006064344624477477,9.910495056992719e-38,0.01,4.880117725058328e-25,0.0005121052712690521,1.916011055595399e-32,0.001,8.88657959527073e-07,0.00013693122256784273
r02142,1207309968,BNS,GW170729,111000,171.02,48.734,292.857,5.032,27.666,4.8729635306461796e-20,3.835933572049999e-05,5.159378680344377e-13,1.90146442244254e-06,5.850109550904692e-18,0.006,2.2850587650606594e-10,0.00040657782857196146,8.035029737319485e-16,0.007,2.2257539534975452e-11,0.0004098933421346982,8.953475269884515e-20,0.0008118617588120942,8.104082945893052e-09,0.0001522197440088288
r02143,1215959714,BNS,GW170729,111000,102.99,24.883,165.198,10.439,126.643,8.157344370694045e-58,8.548509888803285e-05,1.2325034534597842e-31,2.738351660228863e-06,0.0,0.006,2.4664009071304744e-29,0.0003748983025020049,5.450058326214794e-134,0.011,1.327017173906122e-31,0.0005042966056496839,2.429458667180921e-52,0.0007681379498622663,1.3467488809441675e-07,0.0001304448081208196
r02144,1191104322,BNS,GW170729,111000,37.525,8.228,58.096,10.135,482.22,2.9242984101596553e-200,5.832108275792513e-05,1.267843704305034e-77,1.1343394402243289e-06,0.0,0.024,1.5909887132378536e-95,0.0007350269000380646,0.0,0.014,7.451856165728665e-88,0.000601177511015854,0.0,0.002,1.5573868537025601e-71,0.00021348159933863787
r02145,1195935214,BNS,GW170729,111000,182.65,55.12,320.449,7.1,30.835,8.99832763189908e-21,7.406222931777635e-05,4.873706097749632e-15,6.742736235547375e-06,1.7265630874336363e-20,0.008,2.1553901583312054e-13,0.0004604349811749319,1.991288364734188e-18,0.006,1.5356294123501373e-13,0.00041406414416467175,5.617975399375027e-16,0.0003366310173303892,1.872899264965276e-06,9.077859789125204e-05
r02146,1219842297,BNS,GW170729,111000,234.731,68.229,405.303,6.826,22.11,5.215545745126839e-17,9.069236506894994e-05,5.362332528208419e-13,6.763957630963767e-06,1.4231473201399777e-19,0.002,3.731375466852031e-11,0.0002916032691868747,7.061356852799523e-15,0.005,2.0718001250390334e-11,0.0003342051788208078,1.7060489457112976e-14,0.0004358377183509381,1.5509278725895414e-06,9.916959775644514e-05
r02147,1249192645,BNS,GW170729,111000,138.342,44.281,249.045,5.389,15.033,7.663429851424838e-14,7.513548207516523e-05,3.761897942661633e-11,7.79263842800067e-06,1.874929830479565e-12,0.004,2.0840228983915883e-09,0.0003166818459635788,3.329252808841108e-12,0.003,1.8011844588951506e-09,0.00025806447096810204,2.38869072418761e-11,0.0005362437806322757,1.140560641391591e-06,0.00011723418572631263
r02148,1183803771,BNS,GW170729,111000,63.417,15.367,101.834,9.028,185.702,5.5873397114816535e-81,9.027062650169234e-05,8.741443286445566e-35,2.9094164132467333e-06,0.0,0.009,1.6284345541632383e-27,0.0004377026502109264,0.0,0.008,4.91246905220757e-39,0.0004787730831720095,0.0,0.001,1.3134289020225135e-14,0.00016711646239903226
r02149,1236215017,BNS,GW170729,111000,108.194,30.392,184.174,3.236,30.484,1.418030332588005e-20,7.741299852539869e-05,2.4511537316007358e-15,2.648040981466742e-06,8.517391357603444e-17,0.016,4.4784800497451e-08,0.0006090427946128645,3.978984140625852e-16,0.007,2.0584552820982705e-12,0.00042386810339517414,2.610019169753486e-18,0.003,8.69557664072067e-07,0.00025740780568031714
r02150,1208172214,BNS,GW170729,111000,160.486,45.8,274.985,5.785,25.347,1.3130286777153522e-18,4.683193499482466e-05,5.213245703776431e-16,2.8317315390193544e-06,3.3304815414321136e-16,0.008,5.060559225733269e-10,0.00043776224006163123,4.546149529316379e-17,0.008,8.072322501735315e-14,0.00045360213272079805,6.93034176137572e-16,0.0009224110703430761,2.6263815002322882e-08,0.00015722749897242053
r02151,1253039284,BNS,GW190426,111000,76.564,17.776,121.004,10.364,312.957,3.628877786324802e-123,4.618014776257692e-05,7.986127280087532e-59,1.031694695893585e-06,0.0,0.017,2.5883411309424617e-50,0.0006289555245548404,0.0,0.009,5.674357237367538e-63,0.0004787641553246483,0.0,0.002,8.530540192148778e-44,0.00020086402751331482
r02152,1219318239,BNS,GW190426,111000,146.1,44.776,258.041,8.152,81.111,7.304149478328927e-40,6.712070170032799e-05,7.362693653945081e-23,2.4680886243022844e-06,7.946252521222215e-121,0.01,1.568387582736256e-16,0.0004890714980327328,3.1399419387977198e-46,0.004,3.660277372847963e-20,0.00027695365498119377,3.587732710235616e-37,0.000981559661005535,1.3562365754674074e-13,0.0001610482780425028
r02153,1181244927,BNS,GW190426,111000,220.472,69.442,394.076,3.222,32.735,1.3190867638395749e-21,0.0001468699673381,2.072518463014857e-12,7.21614599614122e-06,1.0525502243308394e-16,0.007,1.057064726195618e-09,0.00037050623899517006,1.4085082284279066e-29,0.004,5.026539871027906e-11,0.00032662015648598846,1.43383464705834e-56,0.003,1.270813558479189e-09,0.0002058539927419931
r02154,1218548814,BNS,GW190426,111000,203.0,61.761,357.402,7.27,36.118,3.313515519038744e-22,9.280195444145735e-05,9.497134050393617e-18,7.507688264151912e-06,5.922958132517177e-29,0.014,1.103936125794246e-15,0.0005384239984615182,8.384754141998625e-21,0.005,5.114282036730952e-16,0.00039836275860487264,3.5234918239802496e-19,0.00044028477970348953,2.1877027998757558e-06,9.324752787342287e-05
r02155,1243907392,BNS,GW190426,111000,169.017,44.606,280.533,6.107,41.499,7.324423220965487e-25,0.0001344452621661,5.028231992899464e-19,9.17338024684241e-06,3.4795979057244452e-22,0.004,2.6561555299691924e-10,0.00032914001005581844,3.4617809582993865e-21,0.005,2.237806004445402e-15,0.0003487561108672527,1.2064745210487086e-21,0.001,5.12032696804586e-15,0.00018573425985353868
r02156,1242075027,BNS,GW190426,111000,169.488,50.06,294.639,5.535,26.247,1.2114220002655141e-18,3.273425203001575e-05,6.5308865844660545e-16,2.604772998947372e-06,3.189651526505659e-16,0.004,7.359249887618551e-10,0.0003318585530261576,3.4490058019166296e-16,0.004,1.2479756621163478e-13,0.0003247009164250652,7.480413114064717e-16,0.001,4.054593844121929e-10,0.00016278567681875066
r02157,1223812730,BNS,GW190426,111000,230.582,74.321,416.385,5.588,13.713,2.4479868839422604e-13,9.445980683307336e-05,2.1816275470138823e-11,8.381511805616437e-06,4.223778155314206e-16,0.004,1.578136028058321e-09,0.00024909449136255334,2.7168068328891426e-11,0.0005425580272509387,6.83729776688325e-07,0.00010970387908229412,1.200542783812384e-11,0.002,5.651718608308372e-09,0.00017209651959526043
